 NumElements:            1
 Element:            1
 FFD Points          240
   3.0312275886535645         0.93605095148086548          3.7692539691925049     
  0.55652964115142822         0.68237781524658203         0.99337875843048096     
   3.0537388324737549         0.93575596809387207          3.7692503929138184     
  0.59953254461288452         0.67890655994415283         0.99337780475616455     
   3.0543475151062012         0.93391621112823486          3.7692267894744873     
  0.60072290897369385         0.65726286172866821         0.99337184429168701     
   3.0112452507019043         0.93467175960540771          3.7692084312438965     
  0.51841139793395996         0.66625505685806274         0.99336707592010498     
   3.0412056446075439         0.93682199716567993          3.7692003250122070     
  0.57564651966094971         0.69169062376022339         0.99336475133895874     
   3.0018389225006104         0.93211627006530762          3.7692012786865234     
  0.50045353174209595         0.63609808683395386         0.99336475133895874     
   3.0330591201782227         0.93049800395965576          3.7691702842712402     
  0.56012004613876343         0.61709904670715332         0.99335664510726929     
   3.0431129932403564         0.93144005537033081          3.7691679000854492     
  0.57932573556900024         0.62823492288589478         0.99335610866546631     
   3.0023655891418457         0.93013322353363037          3.7691500186920166     
  0.50151765346527100         0.61286574602127075         0.99335139989852905     
   3.0229926109313965         0.92962998151779175          3.7691340446472168     
  0.54093205928802490         0.60698086023330688         0.99334752559661865     
   3.0530321598052979         0.93753659725189209          3.7691164016723633     
  0.59832638502120972         0.70044976472854614         0.99334245920181274     
   3.0662701129913330         0.93653148412704468          3.7690997123718262     
  0.62363147735595703         0.68864518404006958         0.99333792924880981     
   3.0012452602386475         0.93404597043991089          3.7690908908843994     
  0.49944385886192322         0.65931564569473267         0.99333590269088745     
   3.0668487548828125         0.93467694520950317          3.7690651416778564     
  0.62477284669876099         0.66686296463012695         0.99332922697067261     
   3.0129158496856689         0.92883485555648804          3.7690553665161133     
  0.52177393436431885         0.59789150953292847         0.99332654476165771     
   3.0548648834228516         0.93203359842300415          3.7690434455871582     
  0.60190689563751221         0.63572490215301514         0.99332338571548462     
   2.9917964935302734         0.93149620294570923          3.7690141201019287     
  0.48148342967033386         0.62948632240295410         0.99331575632095337     
   3.0204977989196777         0.93710756301879883          3.7689647674560547     
  0.53635430335998535         0.69596165418624878         0.99330246448516846     
   3.0655903816223145         0.93832457065582275          3.7689623832702637     
  0.62247937917709351         0.71034550666809082         0.99330192804336548     
   2.9922971725463867         0.92948919534683228          3.7689583301544189     
  0.48250114917755127         0.60599315166473389         0.99330097436904907     
   3.0304417610168457         0.93777078390121460          3.7689590454101562     
  0.55535280704498291         0.70381772518157959         0.99330085515975952     
   3.0028314590454102         0.92810761928558350          3.7689149379730225     
  0.50266832113265991         0.58983397483825684         0.99328970909118652     
   3.0105466842651367         0.93648660182952881          3.7689123153686523     
  0.51740664243698120         0.68882244825363159         0.99328881502151489     
   2.9912431240081787         0.93345147371292114          3.7689073085784912     
  0.48054769635200500         0.65299701690673828         0.99328708648681641     
   3.0403778553009033         0.93848538398742676          3.7689003944396973     
  0.57439500093460083         0.71247923374176025         0.99328565597534180     
   3.0787951946258545         0.93734496831893921          3.7688882350921631     
  0.64777982234954834         0.69905704259872437         0.99328231811523438     
   3.0673363208770752         0.93278461694717407          3.7688620090484619     
  0.62592041492462158         0.64528751373291016         0.99327558279037476     
   3.0793406963348389         0.93550431728363037          3.7688493728637695     
  0.64886033535003662         0.67745757102966309         0.99327248334884644     
   3.0435347557067871         0.92955493927001953          3.7688369750976562     
  0.58049440383911133         0.60723745822906494         0.99326878786087036     
   3.0334718227386475         0.92856031656265259          3.7688097953796387     
  0.56130433082580566         0.59558975696563721         0.99326181411743164     
   3.0522301197052002         0.93923127651214600          3.7688035964965820     
  0.59713590145111084         0.72165751457214355         0.99326014518737793     
   3.0005919933319092         0.93589580059051514          3.7687921524047852     
  0.49853137135505676         0.68230724334716797         0.99325668811798096     
   2.9817550182342529         0.93091696500778198          3.7687671184539795     
  0.46258547902107239         0.62359088659286499         0.99325031042098999     
   3.0781469345092773         0.93912351131439209          3.7687499523162842     
  0.64668726921081543         0.72059339284896851         0.99324578046798706     
   3.0233969688415527         0.92764550447463989          3.7687473297119141     
  0.54213136434555054         0.58502227067947388         0.99324554204940796     
   2.9927406311035156         0.92744117975234985          3.7687141895294189     
  0.48362424969673157         0.58273929357528687         0.99323630332946777     
   2.9822216033935547         0.92889785766601562          3.7687063217163086     
  0.46354478597640991         0.59997761249542236         0.99323451519012451     
   3.0552678108215332         0.93011450767517090          3.7686743736267090     
  0.60307610034942627         0.61446535587310791         0.99322617053985596     
